,1,2,3,4
0,43,45,73,174
1,491,496,65,154
2,396,54,327,302
3,438,391,160,231
4,411,152,174,296
5,310,129,320,83
6,314,30,326,299
7,25,85,313,320
8,165,167,239,77
9,326,236,142,65
10,130,79,294,96
11,214,279,43,237
12,234,263,117,367
13,97,68,215,352
14,208,261,386,403
15,123,414,328,173
16,74,480,358,157
17,112,360,392,369
18,283,459,246,247
19,315,414,63,250
20,131,80,42,371
21,244,346,273,407
22,262,78,61,250
23,472,101,157,419
24,133,150,243,160
25,295,76,50,371
26,202,151,28,252
27,178,252,238,204
28,283,324,74,245
29,410,33,163,239
30,75,162,305,84
31,375,161,37,346
32,190,396,91,289
33,186,209,169,305
34,132,90,476,359
35,182,483,366,163
36,22,296,426,491
37,405,32,170,317
38,47,477,482,417
39,255,429,342,483
40,489,78,71,444
41,492,116,318,476
42,289,184,360,224
43,474,321,117,22
44,198,475,382,497
45,130,341,274,256
46,290,345,67,266
47,39,391,184,111
48,200,497,390,69
49,459,179,277,255
50,478,302,245,247
51,52,126,122,342
52,97,269,455,143
53,32,412,362,29
54,496,220,472,266
55,306,201,499,395
56,468,453,448,378
57,199,113,326,404
58,468,229,231,419
59,476,228,192,129
60,476,412,326,389
61,202,454,72,229
62,482,497,56,261
63,496,305,14,112
64,322,423,50,264
65,285,49,266,350
66,291,46,175,30
67,270,423,402,174
68,455,408,78,12
69,459,441,496,76
70,45,37,476,158
71,360,233,130,468
72,442,285,183,479
73,200,318,356,173
74,134,173,26,146
75,269,195,167,51
76,380,498,400,402
77,441,252,262,189
78,34,311,127,44
79,337,469,189,71
80,335,366,263,272
81,184,211,190,337
82,216,161,210,299
83,100,373,455,380
84,134,80,298,120
85,363,417,293,388
86,198,208,220,73
87,335,216,84,280
88,197,285,102,208
89,354,158,59,191
90,344,266,171,472
91,41,321,308,68
92,252,221,21,330
93,39,451,424,236
94,46,345,101,240
95,103,493,306,64
96,73,463,499,422
97,167,202,193,122
98,162,466,183,346
99,464,205,464,311
100,424,353,326,338
101,29,153,446,58
102,37,96,452,424
103,17,80,354,379
104,216,211,327,72
105,57,97,424,253
106,217,281,311,69
107,281,318,459,34
108,360,253,462,226
109,19,152,409,120
110,168,390,139,351
111,474,84,15,462
112,341,466,460,306
113,223,294,298,268
114,368,464,368,316
115,328,77,393,261
116,246,229,113,252
117,273,420,237,361
118,376,122,410,119
119,31,458,327,110
120,423,225,124,248
121,197,64,97,23
122,370,38,172,460
123,18,14,479,399
124,138,337,162,320
125,418,252,289,82
126,374,387,95,392
127,416,75,341,87
128,446,72,75,398
129,344,483,97,251
130,334,274,377,461
131,41,174,265,44
132,465,257,264,218
133,80,115,117,99
134,379,86,242,164
135,463,204,298,213
136,52,380,82,24
137,148,79,77,333
138,224,160,292,284
139,396,381,317,219
140,25,362,151,470
141,102,359,337,498
142,323,114,480,56
143,75,462,48,382
144,358,487,38,427
145,483,374,86,471
146,315,448,125,354
147,270,222,120,416
148,464,426,19,120
149,249,383,174,30
150,439,466,372,165
151,153,233,340,436
152,410,314,437,395
153,321,422,441,32
154,458,33,182,81
155,80,321,49,72
156,189,270,133,39
157,431,324,479,497
158,147,264,106,38
159,418,346,207,201
160,323,117,383,307
161,205,204,276,193
162,86,64,154,174
163,105,135,200,459
164,317,372,79,182
165,341,349,424,239
166,200,401,348,316
167,472,295,72,82
168,18,118,382,122
169,157,491,325,258
170,456,343,372,425
171,117,433,55,274
172,325,74,431,466
173,470,219,40,356
174,171,303,324,455
175,449,57,202,422
176,407,207,207,444
177,241,69,35,248
178,360,391,208,246
179,298,271,178,313
180,389,267,95,177
181,184,242,488,356
182,21,370,215,81
183,261,335,69,380
184,127,188,72,119
185,164,270,310,209
186,78,47,470,389
187,366,419,20,443
188,431,438,159,226
189,426,461,141,359
190,473,466,164,205
191,157,470,483,252
192,199,179,21,418
193,324,61,432,255
194,310,492,307,51
195,46,155,31,321
196,107,251,374,374
197,222,400,156,252
198,352,356,318,98
199,272,223,441,432
